流动比率,速动比率,现金比率,资产负债率,负债与权益市价比率,总资产周转率,资产现金回收率,流动资产周转率,应收账款周转率,存货周转率,固定资产周转率,营业毛利率,营业利润率,总资产净利率,净资产收益率,盈余现金保障倍数,营业利润增长率,营业收入增长率,净利润增长率,总资产增长率,资本积累率,每股收益,每股净资产,每股经营现金流,市盈率,y
1.32,0.71,-0.190342504,0.456683745,0.840188518,0.348858873,-0.078947368,0.639078498,2.578313253,1.151950719,5.652830189,0.251001335,0.134178905,0.042384723,0.1394,-1.862637363,0.8304,0.4955,0.8044,1.0674,1.5762,0.49,5.22,-0.78,36.42,19.19
1.15,0.62,-0.070042557,0.563793934,1.292494481,0.482426577,-0.038511603,0.763137852,2.408653846,1.537037037,3.643636364,0.171656687,0.054308583,0.027253103,0.1279,-0.791966337,0.1526,0.5069,0.3016,0.6471,0.1921,0.3,2.46,-0.23,59.53,21.12
1.92,1.14,0.294117647,0.398096749,0.660526316,0.527359239,0.107057891,0.756541524,2.714285714,1.661184211,4.079754601,0.240601504,0.128898195,0.021825077,0.1126,1.742898013,0.3599,0.0732,0.4767,0.2699,0.1176,0.35,3.29,0.61,51.03,22.57
1.33,0.74,-0.038134354,0.373109244,0.595174263,0.231232493,-0.010462913,0.633537989,1.696813977,4.81,0.801845556,0.236220472,0.013707995,0.010725518,0.0443,-0.975515864,-1.692471269,0.96547619,5.1704,1.306946688,2.985752449,0.12,4.13,-0.07,126.0833333,15.13
0.17,0.13,0.295719844,0.637156704,1.756010686,0.271405493,0.122778675,3.766816143,19.10736748,27.92,0.806142035,0.292857143,-0.038909286,-0.005933021,-0.0205,-20.6941245,4.54394952,0.064638783,-0.2511,0.031666667,-0.021777003,-0.04,1.78,0.76,-356.25,14.25
0.95,0.22,0.150829563,0.5004,1.001423825,0.477116433,0.071614892,1.563325563,24.71000743,4.91,1.361299053,0.216202783,0.02916998,0.020442215,0.0442,3.372911057,-0.5691,-0.0731,-0.4362,0.075765306,0.088326,0.1,2.31,0.34,94.3,9.43
0.83,0.4,0.152217742,0.506122449,0.506122449,0.553571429,0.073979592,1.831223629,39.45734334,5.67,1.405440415,0.214285714,0.074654378,0.041053447,0.0912,1.823899371,-0.1818,-0.0809,-0.1468,0.0251197,0.2092,0.18,2.18,0.33,66.83333333,12.03
3.72,1.25,0.149295973,0.195026178,3.762820513,1.10044843,0.064125561,1.294303797,4.47810219,4.87,17.65467626,0.144419518,0.019345541,0.005273722,0.0481,12.15945036,0.6714,0.0856,-0.0734,-0.0396,0.0833,0.03,0.66,0.38,273.3333333,8.2
3.78,2.77,0.292232258,0.208053691,4.375,0.634797588,-0.00213062,0.757840617,2.87890625,4.13,11.2519084,0.145814307,0.009540883,0.005465719,0.1223,-0.38981515,1.0859,-0.1571,1.0328,-0.0194,0.6059,0.04,0.62,-0.01,266,10.64
2.88,2.4,0.212222222,0.267617866,0.36540742,0.222208437,0.02369727,0.68990755,1.600536193,3.4,1.178289474,0.332216639,0.145728643,0.028164273,0.0439,0.760956175,-1.6619,0.2786,-0.1656,0.0708,0.0446,0.17,3.9,0.13,89.35294118,15.19
2.91,2.36,0.636042403,0.249236083,0.331976641,0.186129932,0.07174173,0.566518399,1.721130221,3.14,1.024122807,0.374732334,0.238401142,0.037289395,0.1886,1.794019934,1.7054,1.4978,1.6812,4.9035,3.9965,0.2,3.75,0.36,109.1,21.82
1.15,0.94,0.050439434,0.425393883,0.740322581,0.283286994,0.020389249,0.610519308,5.24,3.85,1.442958301,0.146673937,-0.104143948,-0.021316033,-0.0411,0.193660145,15.068,-0.0228,-6.0373,-0.0229,-0.0101,-0.1,2.36,0.09,-61.4,6.14
1.26,1.03,0.061953932,0.432840326,0.7631719,0.283277996,0.023543616,0.591181102,4.669154229,3.5,1.551239669,0.103889185,-0.058604156,0.004136976,0.0082,-5.216769543,-1.3176,-0.1958,-0.5135,-0.0711,0.01212,0.02,2.38,0.11,463.5,9.27
1.77,0.83,0.233905579,0.266633065,0.363823934,0.759576613,0.054939516,1.831105711,11,3.88,2.235905045,0.282680823,0.115461181,0.065524194,0.0956,0.838461538,0.414634146,0.14339909,0.112,-0.137766189,0.056686047,0.25,2.74,0.21,41,10.25
1.35,1.01,0.287558685,0.401999131,0.672238372,0.572794437,0.106475445,1.149084568,7.892215569,4.13,2.491493384,0.280728376,0.093323217,0.050847458,0.0936,2.094017094,0.118181818,0.15008726,-0.01,0.415129151,0.07165109,0.36,4.04,0.76,39.05555556,14.06
1.91,0.96,0.324242424,0.210332103,0.26635514,0.704797048,0.065805658,1.813291139,8.815384615,3.85,2.27833002,0.271378709,0.095986038,0.072570726,0.1028,0.906779661,0.267300086,0.000873362,0.3434,0.081117021,0.114583333,0.37,3.76,0.33,36.81081081,13.62
1,0.68,0.009751806,0.646226415,1.826666667,0.371855346,0.005941549,0.610322581,1.288828338,2.08,1.312066574,0.281183932,0.047541226,0.018241116,0.0537,0.325722868,0.296951555,0.047619048,0.3946,0.192686357,0.036866359,0.09,1.7,0.03,225.8888889,20.33
1.05,0.83,0.048164286,0.593061416,1.457373272,0.423347398,0.026870839,0.758823529,1.231923602,2.88,1.177314211,0.263565891,0.038401661,0.015599625,0.0403,1.722531105,1.341786086,0.053675613,1.3811,0.136993603,0.061124694,0.16,4.03,0.27,204.0625,32.65
0.79,0.49,0.313649564,0.463558791,0.864137176,1.021175826,0.114138093,3.533179848,32.98230088,13.36,2.141075092,0.194143125,0.093411016,0.078753718,0.1607,1.449304175,1.191546763,0.249233863,0.9635,0.193887565,0.161342259,0.52,3.44,0.75,14.71153846,7.65
0.99,0.65,0.30703194,0.448478901,0.813236166,0.975933455,0.113650171,2.669222904,36.25694444,15.84,2.405713627,0.157345336,0.053246505,0.047899435,0.1438,2.372682927,0.508819539,0.11244873,0.3907,0.375787579,1.002885268,0.32,3.01,0.63,27.5625,8.82
0.91,0.57,0.273675189,0.62119069,1.639850645,1.20695641,0.123183747,4.24824621,34.76481481,12.57,2.817499625,0.153465083,0.03925851,0.04738331,0.138,2.59972863,0.965333333,0.218313972,0.0056,1.517235799,1.453977509,0.41,3.06,1.25,29.92682927,12.27
2.35,1.79,0.2720492,0.2959285,0.420310296,0.285998014,0.067539523,0.490630324,1.152,1.91,2.440677966,0.416666667,0.126422569,0.041727011,0.0814,1.618604397,0.14074768,0.138339921,1.5075,0.070138151,0.28442029,0.26,3.29,0.41,82.03846154,21.33
1.33,1,-0.167442636,0.429515419,0.754352031,0.136563877,-0.071365969,0.241245136,0.466165414,0.98,0.953846154,0.350900806,-0.790227419,-0.091181938,-0.1272,0.782676597,0.044349192,0.13963964,-0.2463,-0.046605876,0.005464481,-0.42,3.02,-0.39,-48.23809524,20.26
2.34,2,-0.316312857,0.299303944,0.427152318,0.1612529,-0.077059977,0.283673469,0.430340557,1.4,0.978873239,0.398033094,-0.666461871,-0.077067169,-0.1069,0.999906671,0.219319524,0.396226415,-3.222,0.019628099,0.009191176,-0.4,3.49,-0.4,-57.525,23.01
1.66,1.41,0.112669246,0.508436445,1.034324943,0.453093363,0.052418448,0.587514586,1.914448669,3.31,3.72962963,0.381330685,0.074478649,0.036220472,0.0762,1.447204969,-0.542682927,-0.353658537,-0.537,-0.004702194,-0.033185841,0.1,1.31,0.14,63.4,6.34
2.15,1.85,0.78781362,0.493954322,0.976106195,0.697716077,0.246081505,1.039013004,3.122244489,4.13,3.56930126,0.272464698,0.105263158,0.078145992,0.1525,3.148997135,0.210332103,-0.556441281,0.0927,-0.442586121,-0.129765114,0.22,1.31,0.68,67.90909091,14.94
1.09,0.69,-0.071760454,0.614337375,1.592939879,0.511876906,-0.039424236,0.857669003,5.831179321,5.53,2.382508251,0.163873113,0.001180357,0.004007247,0.0117,-9.838235346,-0.96358547,-0.169083794,-0.747,0.067519491,-0.011809593,0.06,4.87,-0.56,162.3333333,9.74
1.27,0.84,0.349415693,0.583377488,1.40025436,0.65763379,0.158428582,1.141355754,12.89020772,6.49,2.924267923,0.184046961,0.026933702,0.016879873,0.0469,9.385650224,0.352601156,-0.065806452,0.6506,-0.004596142,0.019448046,0.22,4.85,2.1,48.04545455,10.57
1.05,0.78,0.104095285,0.593279084,1.458418226,0.700723327,0.048071127,1.440520446,10.97992916,5.82,3.243808859,0.180967742,0.018602151,0.01017179,0.0292,4.725925926,2.158029244,0.041550006,-0.1931,0.074134024,0.014658899,0.14,4.69,0.64,96.64285714,13.53
2.67,1.44,0.247017593,0.302352941,0.434121622,0.598823529,0.062771529,0.883680556,3.201257862,4.37,2.545,0.332023576,0.183357564,0.094925647,0.1415,0.661270493,0.225805096,0.223557692,0.1912,0.145552561,0.08226691,0.68,5.02,0.45,55.05882353,37.44
1.35,1.05,0.304506382,0.364938489,0.574650616,0.928998243,0.102724077,2.062426844,6.096885813,15.05,4.077130737,0.19163829,0.116912599,0.084797891,0.1589,1.211398964,0.178265014,0.24625722,0.1143,0.152288376,0.106060606,0.46,3.14,0.55,27.63043478,12.71
1.55,1.18,0.410702772,0.338396112,0.511478421,0.858950992,0.128999595,1.768396915,7.500442087,14.45,3.927314815,0.209595662,0.123659083,0.087687323,0.1547,1.47113164,0.204362801,0.204458327,0.1176,0.175714286,0.18219649,1.04,7.2,1.51,18.78846154,19.54
1.57,1.18,0.383377012,0.34202381,0.519811833,0.838452381,0.121904762,1.676904762,7.548767417,16.81,3.330023641,0.204742297,0.123668891,0.092142857,0.1737,1.322997416,0.31570997,0.060054184,0.262,0.365631605,0.313138513,0.95,6.14,1.22,21.74736842,20.66
2.55,1.52,-0.340983607,0.22662116,0.293027361,0.435494881,-0.070989761,0.821106821,2.773913043,3.72,1.849275362,0.242946708,0.063487931,0.017266075,0.0234,-4.111516992,-0.084789382,0.224568138,-0.238266746,-0.055448098,0.021641118,0.1,4.13,-0.4,208,20.8
2.26,0.84,0.266826923,0.005044939,0.398557259,0.335912315,0.071566731,0.553666312,5.276285981,3.68,2.019379845,0.262955854,0.085001344,0.021409994,0.0314,3.342678781,4957.671856,-0.109401709,-0.5819,0.379893238,0.075654704,0.17,5.3,0.55,188.1176471,31.98
2.54,1.63,0.116510012,0.540259053,1.175137991,0.279895128,0.034287845,0.375116856,1.075909574,1.69,3.964060637,0.213509217,0.052335324,0.016019435,0.0357,2.14039039,-2.021812081,0.16231334,2.4265,-0.067219349,0.011430083,0.17,4.82,0.37,26.94117647,4.58
2.56,1.56,0.080634968,0.576008795,1.358539489,0.224621667,0.024332238,0.290525247,0.664862532,1.14,2.687290297,0.238625581,-0.059531539,-0.010477782,-0.0244,-2.322269807,0.970247934,-0.035175637,-12.1864,-0.048888747,-0.069294984,-0.12,4.8,0.28,-37.08333333,4.45
2.47,1.52,-0.11045953,0.566712547,1.307936664,0.221429105,-0.035572912,0.278246296,0.697697092,1.24,2.660641026,0.270177806,-0.029152412,0.000890575,0.0021,-39.94373851,-1.912518854,-0.197207071,-0.8595,-0.000373301,-0.01549166,0.01,5.21,-0.44,655,6.55
1.79,1.4,0.046875,0.483100704,0.934821429,0.452878071,0.016264852,0.729197623,8.162162162,3.92,2.010240655,0.137544575,0.039225675,0.025839197,0.0599,0.629464286,0.076923077,0.386299435,0.2756,0.218925759,0.220375919,0.28,5.08,0.16,27.17857143,7.61
1.81,1.47,0.187389771,0.483830146,0.937346772,0.398200225,0.059758155,0.69090022,5.234750462,3.1,1.434650456,0.167019774,0.05049435,0.024746907,0.0488,2.414772727,0.1171875,0.16976456,0.0881,0.106237362,0.036712793,0.22,4.58,0.53,36.54545455,8.04
1.21,0.73,0.04749061,0.414529915,0.708029197,0.182478632,0.016642009,0.428714859,3.05,0.82,0.659969088,0.266978923,-0.243559719,0.005375256,0.0095,3.096039942,-0.509433962,0.007075472,1.0705,0.043245653,0.123872026,0.04,3.86,0.11,271,10.84
1.07,0.56,0.100420922,0.456531431,0.840032814,0.189032546,0.037876103,0.466960352,2.617283951,0.83,0.609195402,0.143867925,-0.5,-0.079358003,-0.1381,-0.477281461,-36.82896738,-0.173489279,-11.148,-0.020524017,-0.115384615,-0.52,3.57,0.25,-23.38461538,12.16
0.76,0.5,-0.050262566,0.308082376,0.44525875,0.157818483,-0.013867329,0.748649975,7.860824742,4.33,1.240846216,0.140327869,-0.200655738,-0.029079996,-0.0445,0.476868327,-2.9125,-0.015493867,-3.5532,-0.016188149,-0.053644728,-0.33,7.16,-0.16,-23.21212121,7.66
0.64,0.48,-0.053688683,0.280798208,0.390375088,0.157707188,-0.014151904,0.939927184,17.10953749,5.84,1.354020979,0.122659781,0.103292447,0.011199348,0.0172,-1.263636364,0.403508772,-0.121882086,-0.1515,-0.038190364,0.035468269,0.13,7.71,-0.16,67.76923077,8.81
0.62,0.49,0.041781031,0.331864473,0.49670233,0.172737955,0.01341559,0.872403561,16.33333333,4.59,1.426030719,0.133219955,0.06462585,0.012730121,0.0206,1.053846154,-0.887795276,-0.227332457,-0.8782,-0.046231437,-0.01015523,0.15,7.43,0.16,92.06666667,13.81
3.56,2.21,-0.250747399,0.239872068,0.315568022,0.327292111,-0.046246588,0.499186992,1.650537634,1.59,1.686813187,0.390879479,0.006624463,0.01175597,0.0156,-3.933881075,#REF!,0.218253968,-0.6081,0.021786492,0.004225352,0.12,7.62,-0.46,312.0833333,37.45
